Código,Região,UF,nome_meso,nome_micro,Município,IFDM,Educação,Emprego e Renda,Saúde,desenvolvimento
120010,Norte,AC,Vale do Acre,Brasiléia,BRASILÉIA,0.5884837449675837,0.7699379070703913,0.3866568920476843,0.6088564357846755,Regular
120013,Norte,AC,Vale do Acre,Rio Branco,BUJARI,0.6218520753762826,0.6373338576072141,0.4885737625029122,0.7396486060187217,Moderado
120017,Norte,AC,Vale do Acre,Rio Branco,CAPIXABA,0.5395165428779853,0.6468163279783692,0.3657783776826115,0.6059549229729755,Regular
120020,Norte,AC,Vale do Juruá,Cruzeiro do Sul,CRUZEIRO DO SUL,0.6426940550877049,0.7363226646347696,0.4332068704878944,0.7585526301404508,Moderado
120025,Norte,AC,Vale do Acre,Brasiléia,EPITACIOLÂNDIA,0.5358546218451063,0.7372689287308207,0.3375068428917622,0.5327880939127361,Regular
120030,Norte,AC,Vale do Juruá,Tarauacá,FEIJÓ,0.4561624125732294,0.5856223162306928,0.2458624994145456,0.5370024220744498,Regular
120032,Norte,AC,Vale do Juruá,Tarauacá,JORDÃO,0.5924903495797033,0.6600177504820801,0.4119693450508545,0.7054839532061752,Regular
120033,Norte,AC,Vale do Juruá,Cruzeiro do Sul,MÂNCIO LIMA,0.5139603035301811,0.6790047791257933,0.2376798927052856,0.6251962387594645,Regular
120034,Norte,AC,Vale do Acre,Sena Madureira,MANOEL URBANO,0.5567320871918938,0.5945111166723742,0.6086190617339107,0.4670660831693967,Regular
120035,Norte,AC,Vale do Juruá,Cruzeiro do Sul,MARECHAL THAUMATURGO,0.456378535231289,0.5395056752527067,0.2654687166082384,0.5641612138329218,Regular
120038,Norte,AC,Vale do Acre,Rio Branco,PLÁCIDO DE CASTRO,0.4859192182954191,0.6893143936112401,0.2577269738945654,0.5107162873804519,Regular
120039,Norte,AC,Vale do Juruá,Cruzeiro do Sul,PORTO WALTER,0.4888835474846344,0.5081867306363105,0.3913402807353418,0.567123631082251,Regular
120040,Norte,AC,Vale do Acre,Rio Branco,RIO BRANCO,0.7390308854982234,0.777014939309057,0.648622671134485,0.7914550460511283,Moderado
120042,Norte,AC,Vale do Juruá,Cruzeiro do Sul,RODRIGUES ALVES,0.4797304137589717,0.6561588598667251,0.2790194510900715,0.5040129303201186,Regular
120043,Norte,AC,Vale do Acre,Sena Madureira,SANTA ROSA DO PURUS,0.3570386285071712,0.4347067893949406,0.3048075113566255,0.3316015847699476,Baixo
120045,Norte,AC,Vale do Acre,Rio Branco,SENADOR GUIOMARD,0.5997103021944656,0.7753991416454278,0.3624011392910736,0.6613306256468956,Regular
120050,Norte,AC,Vale do Acre,Sena Madureira,SENA MADUREIRA,0.4871346953217018,0.6092098890872031,0.3174249733659533,0.5347692235119491,Regular
120060,Norte,AC,Vale do Juruá,Tarauacá,TARAUACÁ,0.4592845437619263,0.5827820524402036,0.2821220495442068,0.5129495293013686,Regular
120070,Norte,AC,Vale do Acre,Brasiléia,XAPURI,0.5745442734289012,0.6323248650698076,0.3981219616000811,0.6931859936168153,Regular
120080,Norte,AC,Vale do Acre,Rio Branco,PORTO ACRE,0.5488364213566643,0.6590832339550555,0.306339977391773,0.6810860527231648,Regular
130002,Norte,AM,Centro Amazonense,Tefé,ALVARÃES,0.4669585282373734,0.4831077321371439,0.3145066068537293,0.6032612457212471,Regular
130006,Norte,AM,Sudoeste Amazonense,Alto Solimões,AMATURÁ,0.5459952897002416,0.6599924573524221,0.3909488212639588,0.5870445904843441,Regular
130008,Norte,AM,Centro Amazonense,Coari,ANAMÃ,0.4505947434236658,0.638508953583927,0.2330292086292665,0.4802460680578038,Regular
130010,Norte,AM,Centro Amazonense,Coari,ANORI,0.4952031479776267,0.6423787890646239,0.2610577166746798,0.5821729381935765,Regular
130014,Norte,AM,Sul Amazonense,Madeira,APUÍ,0.5767461048432113,0.7003118493798874,0.3864437587200918,0.6434827064296547,Regular
130020,Norte,AM,Sudoeste Amazonense,Alto Solimões,ATALAIA DO NORTE,0.4207376286208997,0.5248411392529038,0.3894758237061681,0.3478959229036273,Regular
130030,Norte,AM,Centro Amazonense,Manaus,AUTAZES,0.4528009687186862,0.5846138451496259,0.271683244857425,0.5021058161490077,Regular
130040,Norte,AM,Norte Amazonense,Rio Negro,BARCELOS,0.4193301947254033,0.5987673091779321,0.4307587342567351,0.2284645407415429,Regular
130050,Norte,AM,Centro Amazonense,Parintins,BARREIRINHA,0.5208970792950741,0.641578919560804,0.3521652028781861,0.5689471154462323,Regular
130060,Norte,AM,Sudoeste Amazonense,Alto Solimões,BENJAMIN CONSTANT,0.51065217183354,0.6209537118967926,0.3142507877762986,0.5967520158275287,Regular
130063,Norte,AM,Centro Amazonense,Coari,BERURI,0.0,0.511912327343472,0.0,0.5299153130823216,Baixo
130068,Norte,AM,Centro Amazonense,Parintins,BOA VISTA DO RAMOS,0.5522803071792244,0.6504605603302689,0.375100001588017,0.6312803596193871,Regular
130070,Norte,AM,Sul Amazonense,Boca do Acre,BOCA DO ACRE,0.5885317442538303,0.7088855280230807,0.4780309252255791,0.5786787795128311,Regular
130080,Norte,AM,Sul Amazonense,Madeira,BORBA,0.5507826517269961,0.6004988234553702,0.4231447947946649,0.6287043369309535,Regular
130083,Norte,AM,Centro Amazonense,Coari,CAAPIRANGA,0.5062094363694256,0.5547613521580468,0.3023989405679373,0.6614680163822929,Regular
130090,Norte,AM,Sul Amazonense,Purus,CANUTAMA,0.4065484296880058,0.4917974917239622,0.2296755538641511,0.4981722434759041,Regular
130100,Norte,AM,Sudoeste Amazonense,Juruá,CARAUARI,0.4608930528761427,0.7608485652403554,0.2346094780159946,0.3872211153720782,Regular
130110,Norte,AM,Centro Amazonense,Manaus,CAREIRO,0.4744606005961595,0.6081950149736914,0.2752015063340124,0.5399852804807748,Regular
130115,Norte,AM,Centro Amazonense,Manaus,CAREIRO DA VÁRZEA,0.4703314662583929,0.6898163279682383,0.2102036876313311,0.5109743831756093,Regular
130120,Norte,AM,Centro Amazonense,Coari,COARI,0.5127978248361231,0.5675375337124282,0.3147291380758935,0.6561268027200479,Regular
130130,Norte,AM,Centro Amazonense,Coari,CODAJÁS,0.4721897027781782,0.5819409450437028,0.2756934067630145,0.5589347565278173,Regular
130140,Norte,AM,Sudoeste Amazonense,Juruá,EIRUNEPÉ,0.4725663238187967,0.6163522911556967,0.3692568199637057,0.4320898603369879,Regular
130150,Norte,AM,Sudoeste Amazonense,Juruá,ENVIRA,0.4557533565818691,0.6371143323941784,0.2542005891000554,0.4759451482513737,Regular
130160,Norte,AM,Sudoeste Amazonense,Alto Solimões,FONTE BOA,0.5255771776794007,0.532927906661613,0.3412423391023985,0.7025612872741904,Regular
130165,Norte,AM,Sudoeste Amazonense,Juruá,GUAJARÁ,0.5309175118724054,0.6287343125498099,0.3122405092504523,0.6517777138169543,Regular
130170,Norte,AM,Sul Amazonense,Madeira,HUMAITÁ,0.5788336178318594,0.6550752744982467,0.454171129034489,0.6272544499628427,Regular
130180,Norte,AM,Sudoeste Amazonense,Juruá,IPIXUNA,0.3213813065766534,0.5252586442870013,0.2540096008345621,0.1848756746083967,Baixo
130185,Norte,AM,Centro Amazonense,Manaus,IRANDUBA,0.5812166812161998,0.6678437595366815,0.4537837163239103,0.6220225677880076,Regular
130190,Norte,AM,Centro Amazonense,Itacoatiara,ITACOATIARA,0.6035350532650055,0.6660855022031493,0.5114643130751535,0.6330553445167135,Moderado
130195,Norte,AM,Sudoeste Amazonense,Juruá,ITAMARATI,0.4209718335864303,0.5006577540106951,0.2742044819587564,0.4880532647898397,Regular
130200,Norte,AM,Centro Amazonense,Itacoatiara,ITAPIRANGA,0.6534213158926605,0.7101361193070126,0.3973358534317484,0.8527919749392207,Moderado
130210,Norte,AM,Norte Amazonense,Japurá,JAPURÁ,0.5444918776678502,0.6682156862745098,0.3890728984445121,0.5761870482845288,Regular
130220,Norte,AM,Sudoeste Amazonense,Juruá,JURUÁ,0.4675255612271318,0.5567948130301072,0.2417671832194538,0.6040146874318345,Regular
130230,Norte,AM,Sudoeste Amazonense,Alto Solimões,JUTAÍ,0.4005618561715397,0.5232478127738586,0.3424682724834331,0.3359694832573275,Regular
130240,Norte,AM,Sul Amazonense,Purus,LÁBREA,0.3637999203767008,0.5342768883721544,0.251727353477043,0.3053955192809052,Baixo
130250,Norte,AM,Centro Amazonense,Manaus,MANACAPURU,0.6404365641619303,0.7243601891272058,0.4151393655959549,0.7818101377626302,Moderado
130255,Norte,AM,Centro Amazonense,Manaus,MANAQUIRI,0.4538863838797405,0.5927826809518757,0.227308313196756,0.54156815749059,Regular
130260,Norte,AM,Centro Amazonense,Manaus,MANAUS,0.693053196845566,0.7444592719021559,0.652637939539527,0.6820623790950154,Moderado
